age,gender,income,person_id,year_of_member,month_of_member,day_of_member
66.0,M,60000.0,10914,2018,7,9
69.0,F,87000.0,2292,2017,9,27
74.0,M,53000.0,8805,2014,8,20
75.0,F,87000.0,4931,2018,7,12
59.0,F,85000.0,2609,2015,9,9
47.0,M,66000.0,10862,2013,12,30
20.0,M,69000.0,2172,2018,5,28
60.0,M,108000.0,813,2017,4,26
65.0,M,61000.0,4683,2018,3,15
33.0,M,43000.0,4205,2015,4,21
39.0,F,67000.0,16908,2017,12,17
49.0,M,59000.0,14628,2018,6,2
68.0,M,58000.0,13358,2018,2,7
42.0,M,80000.0,14350,2017,2,9
72.0,M,33000.0,1550,2018,6,1
18.0,F,49000.0,7570,2017,5,24
32.0,F,42000.0,14223,2018,6,28
67.0,M,50000.0,1004,2017,8,28
52.0,M,42000.0,6317,2018,7,4
38.0,M,64000.0,14389,2017,10,19
60.0,F,77000.0,3210,2018,3,16
62.0,F,77000.0,16835,2017,12,22
55.0,F,51000.0,4428,2018,7,8
22.0,M,63000.0,2892,2018,4,28
34.0,M,41000.0,5133,2017,12,6
46.0,M,60000.0,1204,2014,12,14
85.0,M,67000.0,5206,2018,7,26
51.0,F,85000.0,4177,2017,3,16
53.0,F,85000.0,9195,2016,4,27
51.0,M,92000.0,1164,2016,8,10
48.0,M,44000.0,2144,2015,6,1
52.0,M,72000.0,6534,2018,6,5
62.0,M,53000.0,13365,2016,3,5
42.0,M,62000.0,9734,2018,3,25
55.0,M,65000.0,3976,2017,10,25
27.0,F,50000.0,9747,2015,9,15
68.0,M,107000.0,3614,2018,5,30
74.0,F,83000.0,13348,2017,12,20
77.0,M,66000.0,265,2014,10,11
35.0,M,72000.0,10620,2018,1,18
50.0,F,69000.0,3446,2017,11,8
45.0,M,94000.0,13280,2015,10,27
82.0,M,87000.0,13307,2016,12,31
40.0,M,57000.0,9387,2013,12,22
66.0,M,34000.0,8758,2018,6,17
52.0,M,63000.0,1528,2018,4,11
57.0,F,89000.0,8023,2016,3,29
68.0,M,69000.0,2170,2016,6,29
21.0,M,52000.0,760,2018,3,3
61.0,M,44000.0,12311,2017,8,15
58.0,F,54000.0,11391,2018,3,17
67.0,F,54000.0,858,2018,6,14
24.0,M,61000.0,14025,2017,2,12
26.0,M,35000.0,4056,2017,11,17
71.0,F,105000.0,9051,2017,12,7
69.0,F,64000.0,5217,2017,12,12
81.0,M,93000.0,11589,2018,5,3
62.0,M,73000.0,13976,2016,4,5
38.0,M,74000.0,1987,2017,7,9
61.0,M,82000.0,4199,2017,9,26
52.0,F,92000.0,2929,2017,8,9
50.0,M,70000.0,10579,2017,12,25
54.0,M,118000.0,11694,2017,2,16
75.0,F,109000.0,91,2018,5,2
82.0,M,73000.0,14060,2018,3,19
64.0,M,38000.0,11411,2018,7,20
54.0,F,99000.0,11690,2015,10,6
82.0,M,72000.0,5993,2018,1,8
90.0,M,45000.0,12778,2018,5,9
34.0,F,67000.0,6073,2018,4,17
44.0,M,53000.0,11624,2018,7,18
79.0,F,106000.0,6954,2018,7,11
58.0,F,95000.0,7677,2016,12,31
47.0,F,74000.0,15384,2016,1,5
60.0,F,59000.0,10490,2017,11,17
83.0,M,54000.0,3287,2017,8,7
74.0,F,103000.0,5219,2018,5,17
89.0,M,101000.0,2853,2015,9,17
68.0,M,62000.0,3177,2016,3,5
63.0,F,110000.0,15664,2017,11,27
40.0,F,51000.0,16551,2018,7,6
79.0,F,99000.0,3421,2017,12,17
71.0,M,30000.0,1544,2018,3,21
76.0,F,114000.0,10105,2015,9,6
89.0,M,96000.0,3086,2016,5,28
63.0,M,36000.0,275,2017,7,29
41.0,M,83000.0,192,2017,9,22
71.0,F,56000.0,9355,2018,4,8
44.0,M,36000.0,634,2017,10,11
25.0,M,73000.0,10118,2016,4,6
27.0,M,70000.0,715,2018,3,27
67.0,M,106000.0,2679,2018,2,12
77.0,F,80000.0,8011,2016,2,19
68.0,F,66000.0,11630,2015,12,29
37.0,M,64000.0,931,2016,4,20
55.0,M,60000.0,11599,2016,3,23
30.0,M,54000.0,13370,2016,9,3
51.0,M,54000.0,15076,2015,8,15
47.0,F,92000.0,16091,2018,7,12
49.0,M,48000.0,7376,2018,2,4
32.0,M,38000.0,2533,2015,10,8
30.0,M,69000.0,12503,2017,4,18
47.0,M,86000.0,38,2017,2,25
34.0,M,34000.0,16998,2017,1,23
78.0,F,101000.0,10843,2017,6,4
85.0,F,71000.0,5388,2016,3,2
75.0,F,69000.0,11364,2013,8,6
76.0,F,71000.0,13229,2017,3,11
89.0,F,59000.0,5055,2015,7,22
58.0,M,70000.0,5187,2018,1,29
23.0,M,49000.0,6029,2017,10,30
58.0,M,53000.0,2786,2017,9,16
64.0,F,95000.0,2278,2015,10,12
72.0,M,39000.0,14524,2017,9,9
66.0,F,72000.0,16662,2017,8,11
49.0,F,68000.0,7940,2017,8,9
43.0,M,71000.0,11942,2017,4,13
58.0,M,39000.0,9823,2018,7,17
43.0,M,76000.0,13509,2017,8,6
56.0,F,87000.0,2063,2017,3,29
69.0,F,118000.0,8592,2017,10,16
60.0,O,94000.0,13907,2018,2,16
81.0,M,70000.0,3306,2016,6,1
42.0,M,91000.0,13190,2017,4,3
75.0,M,71000.0,7527,2015,1,10
62.0,M,73000.0,12860,2018,1,27
55.0,F,54000.0,16728,2016,5,5
65.0,M,39000.0,14975,2017,10,11
52.0,M,46000.0,12219,2017,2,27
30.0,F,40000.0,2836,2017,10,15
74.0,F,75000.0,2566,2015,9,24
100.0,F,63000.0,2346,2015,8,28
26.0,F,40000.0,11028,2017,3,24
56.0,F,53000.0,9184,2016,3,28
50.0,M,90000.0,3768,2014,10,15
73.0,M,95000.0,6562,2017,10,8
49.0,F,74000.0,712,2017,12,10
37.0,M,50000.0,5867,2016,1,9
65.0,M,57000.0,10363,2016,2,12
64.0,F,81000.0,11717,2016,2,25
48.0,F,53000.0,10468,2016,10,14
20.0,M,32000.0,5232,2015,8,12
46.0,M,40000.0,15480,2018,7,23
24.0,M,69000.0,14943,2015,4,27
71.0,M,95000.0,11046,2015,8,26
50.0,F,78000.0,16466,2018,5,25
37.0,M,92000.0,6862,2017,5,15
57.0,F,81000.0,12268,2016,5,22
52.0,M,85000.0,11278,2014,4,25
41.0,M,41000.0,12654,2016,8,24
66.0,F,74000.0,16335,2017,6,18
66.0,F,87000.0,16565,2015,10,1
68.0,F,120000.0,13116,2017,10,25
20.0,M,70000.0,5034,2016,3,8
43.0,M,42000.0,10647,2017,7,4
73.0,M,38000.0,3340,2017,12,12
42.0,F,56000.0,6901,2017,5,29
82.0,M,110000.0,11957,2016,6,4
70.0,F,92000.0,113,2017,11,9
42.0,F,71000.0,8124,2017,10,10
48.0,M,62000.0,9576,2015,9,3
53.0,F,93000.0,9272,2015,9,10
64.0,M,67000.0,6819,2018,3,4
79.0,M,90000.0,14715,2018,1,23
51.0,M,55000.0,11846,2016,5,11
45.0,F,88000.0,7511,2018,1,20
48.0,F,105000.0,16485,2016,6,2
54.0,F,119000.0,110,2015,10,24
52.0,M,48000.0,6280,2018,7,10
28.0,M,68000.0,15320,2013,9,24
69.0,M,47000.0,12563,2014,5,2
73.0,M,92000.0,530,2017,6,27
67.0,F,71000.0,15879,2017,8,13
76.0,F,34000.0,13593,2018,6,13
55.0,F,53000.0,13038,2015,11,21
89.0,F,83000.0,7016,2018,6,23
57.0,M,41000.0,7532,2018,4,29
54.0,F,70000.0,13494,2018,2,11
58.0,M,73000.0,12090,2017,12,27
49.0,M,39000.0,1952,2017,11,23
73.0,F,79000.0,504,2018,5,7
58.0,F,76000.0,3618,2017,2,19
51.0,M,70000.0,15600,2017,12,14
74.0,M,78000.0,7472,2016,4,18
53.0,M,95000.0,12903,2015,9,6
61.0,M,32000.0,10584,2018,2,27
41.0,M,55000.0,11583,2017,10,24
64.0,F,95000.0,9100,2017,10,8
42.0,M,75000.0,13700,2017,9,8
50.0,M,57000.0,12721,2016,4,26
60.0,M,56000.0,15503,2017,9,3
57.0,F,83000.0,8350,2016,4,8
39.0,F,54000.0,10790,2017,4,7
57.0,F,67000.0,12031,2016,8,27
57.0,M,71000.0,16882,2017,12,16
68.0,M,51000.0,5079,2016,3,18
83.0,F,114000.0,8579,2015,9,10
35.0,F,72000.0,15847,2018,1,2
90.0,F,72000.0,5888,2018,1,1
56.0,M,72000.0,1960,2018,4,4
84.0,M,81000.0,4771,2017,9,7
62.0,M,39000.0,11213,2018,3,12
63.0,M,58000.0,13766,2017,2,23
67.0,M,56000.0,6499,2016,1,5
68.0,F,50000.0,5062,2017,11,26
55.0,M,73000.0,10425,2017,5,8
24.0,F,59000.0,13415,2017,2,7
40.0,M,39000.0,5356,2017,8,15
83.0,M,61000.0,15163,2018,1,18
63.0,F,41000.0,10574,2017,3,16
59.0,F,59000.0,939,2018,1,16
49.0,O,42000.0,854,2017,12,7
61.0,F,99000.0,13936,2016,6,12
42.0,M,57000.0,7159,2018,6,13
58.0,M,36000.0,9656,2018,1,29
48.0,F,44000.0,12028,2016,10,21
35.0,M,64000.0,151,2017,8,29
36.0,M,31000.0,16325,2018,3,15
41.0,F,100000.0,5353,2016,4,14
83.0,F,73000.0,535,2017,4,30
53.0,M,87000.0,5109,2017,10,15
53.0,F,97000.0,6600,2016,1,15
80.0,F,48000.0,8873,2018,1,10
25.0,M,66000.0,5114,2015,11,16
63.0,M,119000.0,11998,2015,11,4
63.0,F,66000.0,6424,2016,6,14
56.0,F,109000.0,435,2018,1,23
43.0,M,59000.0,15070,2017,10,4
58.0,F,58000.0,7977,2016,3,14
59.0,M,59000.0,1959,2017,1,23
49.0,M,104000.0,13277,2018,3,18
63.0,F,70000.0,12068,2017,9,12
42.0,M,94000.0,14296,2015,12,10
52.0,F,57000.0,12215,2018,1,17
57.0,F,37000.0,10740,2018,4,8
56.0,F,59000.0,1478,2017,11,9
80.0,M,87000.0,8076,2017,10,15
43.0,M,52000.0,14709,2016,2,11
54.0,M,70000.0,633,2017,11,14
28.0,M,73000.0,4444,2016,11,11
57.0,F,95000.0,16114,2017,10,8
71.0,M,67000.0,4202,2015,3,10
64.0,F,112000.0,13853,2018,4,18
20.0,M,49000.0,5822,2014,5,31
36.0,F,58000.0,5719,2017,4,23
45.0,F,99000.0,12062,2016,10,4
71.0,M,65000.0,11718,2014,12,17
67.0,M,89000.0,7325,2018,6,1
72.0,F,81000.0,6355,2016,9,22
51.0,M,100000.0,2198,2018,5,12
48.0,M,68000.0,14055,2017,9,19
53.0,M,60000.0,12796,2018,4,10
25.0,M,53000.0,7813,2018,2,15
79.0,F,85000.0,3217,2018,1,10
19.0,M,32000.0,8538,2018,6,24
28.0,F,49000.0,3155,2018,4,11
56.0,M,76000.0,12531,2014,6,11
44.0,M,37000.0,8613,2014,3,19
25.0,M,40000.0,7867,2017,12,25
61.0,F,78000.0,4833,2018,1,13
34.0,M,59000.0,573,2017,9,22
41.0,F,37000.0,5938,2017,12,10
44.0,M,51000.0,12367,2016,12,4
51.0,F,92000.0,14306,2018,6,29
47.0,M,44000.0,9276,2017,11,9
63.0,F,70000.0,343,2018,7,7
62.0,M,61000.0,16753,2017,11,26
66.0,M,71000.0,4197,2018,7,3
62.0,M,70000.0,382,2017,12,8
83.0,M,88000.0,9847,2016,4,10
43.0,M,58000.0,16941,2018,6,27
66.0,F,94000.0,15610,2016,12,4
70.0,M,44000.0,13395,2017,11,18
65.0,F,66000.0,12741,2018,1,12
33.0,F,54000.0,7056,2016,11,6
63.0,M,78000.0,12201,2018,7,26
77.0,M,42000.0,14067,2017,8,1
49.0,F,57000.0,13007,2017,10,16
53.0,M,104000.0,13471,2017,1,23
61.0,F,87000.0,5937,2016,2,28
60.0,M,38000.0,3513,2015,12,15
44.0,F,60000.0,7167,2017,9,18
69.0,M,62000.0,7528,2015,6,22
39.0,M,71000.0,3208,2018,5,24
38.0,F,55000.0,9513,2015,3,26
83.0,F,99000.0,1852,2017,12,23
63.0,F,94000.0,15710,2016,1,24
41.0,F,41000.0,12047,2015,10,15
54.0,M,39000.0,3329,2017,11,12
41.0,M,55000.0,11668,2018,1,26
56.0,F,69000.0,8443,2017,9,22
50.0,M,98000.0,5302,2018,1,18
58.0,M,55000.0,4289,2015,11,23
39.0,M,61000.0,2441,2017,4,25
60.0,F,55000.0,9046,2017,9,26
60.0,F,74000.0,15929,2016,9,6
24.0,M,38000.0,14348,2018,7,3
48.0,M,57000.0,5851,2016,11,30
50.0,M,110000.0,3993,2018,3,26
41.0,F,67000.0,6226,2017,7,30
45.0,M,84000.0,16552,2015,5,4
48.0,M,93000.0,12851,2016,7,9
59.0,M,87000.0,8969,2018,2,1
43.0,M,45000.0,10497,2018,4,23
56.0,F,67000.0,6761,2017,10,21
54.0,M,93000.0,1536,2016,12,6
48.0,F,47000.0,8855,2018,7,22
63.0,M,49000.0,3258,2017,12,26
47.0,M,35000.0,6553,2017,12,2
52.0,M,56000.0,9621,2016,8,30
58.0,F,78000.0,15883,2016,9,5
78.0,M,39000.0,6167,2015,5,9
43.0,M,40000.0,10460,2014,7,1
68.0,M,61000.0,672,2017,8,6
18.0,M,48000.0,1677,2015,5,3
39.0,F,85000.0,6291,2016,9,19
74.0,M,99000.0,3145,2018,7,21
53.0,F,98000.0,14620,2017,1,19
61.0,F,67000.0,14248,2015,9,23
23.0,M,54000.0,8239,2018,4,28
46.0,M,55000.0,1092,2017,11,9
51.0,M,78000.0,16361,2017,8,27
77.0,M,86000.0,3841,2018,4,7
79.0,F,91000.0,5340,2017,10,26
41.0,M,41000.0,11464,2015,5,14
60.0,F,78000.0,13535,2016,2,17
54.0,F,47000.0,16276,2017,11,23
63.0,O,89000.0,115,2015,9,20
73.0,M,76000.0,11746,2018,4,14
47.0,M,77000.0,15720,2018,2,11
84.0,M,82000.0,4115,2016,4,1
20.0,M,56000.0,12213,2017,9,1
24.0,F,35000.0,13337,2015,1,18
58.0,F,71000.0,16790,2017,3,10
35.0,M,40000.0,3536,2017,9,28
57.0,M,33000.0,373,2017,8,6
87.0,M,55000.0,9834,2015,4,10
86.0,F,84000.0,16449,2015,5,6
57.0,F,100000.0,16545,2018,1,17
61.0,M,112000.0,12120,2017,10,22
25.0,M,53000.0,6765,2017,10,21
38.0,M,31000.0,15089,2015,5,13
94.0,M,50000.0,31,2014,11,28
59.0,M,61000.0,15252,2015,12,12
49.0,F,73000.0,13284,2017,12,31
61.0,F,72000.0,4320,2016,6,14
31.0,M,64000.0,4977,2017,11,1
75.0,F,53000.0,11687,2017,11,2
51.0,M,65000.0,13825,2018,4,5
68.0,M,74000.0,5472,2017,12,1
86.0,M,71000.0,9737,2018,5,24
62.0,F,117000.0,11027,2018,7,7
61.0,M,64000.0,13060,2018,6,27
63.0,F,57000.0,12316,2018,6,27
26.0,F,52000.0,16870,2017,12,4
50.0,F,77000.0,11317,2015,11,2
45.0,F,93000.0,708,2017,6,25
88.0,F,64000.0,2812,2016,2,14
50.0,F,92000.0,1912,2017,9,8
65.0,F,119000.0,10344,2017,9,9
55.0,M,76000.0,5347,2017,7,17
71.0,M,95000.0,8390,2016,4,6
34.0,F,46000.0,9332,2015,9,25
81.0,M,65000.0,6998,2017,8,25
65.0,F,98000.0,1995,2013,8,22
63.0,F,62000.0,5634,2018,3,26
73.0,M,58000.0,2644,2016,5,27
84.0,F,77000.0,7347,2018,1,25
55.0,F,62000.0,7361,2018,6,13
63.0,M,70000.0,14333,2017,9,24
24.0,F,51000.0,4667,2018,4,16
36.0,M,74000.0,14619,2013,7,30
56.0,M,69000.0,754,2016,6,7
65.0,F,119000.0,4535,2017,5,2
75.0,M,75000.0,2191,2018,6,23
71.0,M,114000.0,5724,2016,7,20
71.0,M,118000.0,14990,2017,12,24
61.0,M,39000.0,11688,2017,4,25
73.0,O,88000.0,6658,2018,3,16
19.0,M,73000.0,5078,2018,3,21
64.0,F,34000.0,10869,2017,7,24
66.0,F,112000.0,7473,2017,10,20
37.0,M,59000.0,14618,2018,2,24
22.0,M,49000.0,14977,2016,12,20
54.0,F,96000.0,4400,2018,7,19
62.0,M,73000.0,15418,2018,1,5
50.0,F,75000.0,5688,2018,1,6
80.0,F,87000.0,5537,2017,7,26
55.0,M,112000.0,3903,2015,9,23
40.0,M,50000.0,5003,2017,3,3
43.0,M,52000.0,4038,2015,12,18
61.0,M,53000.0,4723,2017,2,5
32.0,F,43000.0,12828,2017,5,31
68.0,F,32000.0,1861,2017,9,3
66.0,F,104000.0,11991,2017,8,21
36.0,M,35000.0,4879,2017,12,26
38.0,M,60000.0,12887,2017,10,19
80.0,F,54000.0,13040,2015,7,28
82.0,F,68000.0,9531,2018,1,23
45.0,M,74000.0,3434,2015,10,27
89.0,M,63000.0,3874,2017,10,26
45.0,F,94000.0,4461,2017,12,7
59.0,M,35000.0,1245,2018,4,5
22.0,M,44000.0,14283,2018,3,22
67.0,F,50000.0,14805,2017,7,14
30.0,F,41000.0,197,2016,12,5
56.0,M,88000.0,13459,2018,4,2
53.0,F,100000.0,1162,2016,1,14
32.0,M,58000.0,11757,2016,10,28
51.0,F,73000.0,14309,2016,2,23
38.0,F,66000.0,16407,2017,12,25
52.0,F,45000.0,7209,2014,1,13
55.0,M,68000.0,13912,2016,9,8
81.0,M,41000.0,2434,2017,10,9
55.0,M,78000.0,8145,2017,11,3
51.0,F,67000.0,12672,2014,2,2
71.0,F,74000.0,823,2015,9,4
45.0,M,84000.0,5973,2016,3,3
49.0,M,71000.0,588,2015,10,16
62.0,M,48000.0,1117,2017,9,20
65.0,F,99000.0,4464,2015,10,16
50.0,F,63000.0,12967,2018,1,9
20.0,F,60000.0,8067,2018,2,3
49.0,F,31000.0,10230,2018,4,30
55.0,M,83000.0,4310,2017,9,24
58.0,M,54000.0,66,2014,10,24
95.0,F,64000.0,5744,2017,9,13
83.0,F,99000.0,9323,2018,1,12
56.0,F,70000.0,1016,2016,2,14
66.0,M,54000.0,16260,2017,5,23
87.0,M,74000.0,8052,2017,8,8
55.0,M,89000.0,5616,2016,8,26
52.0,F,114000.0,7291,2017,8,1
59.0,F,83000.0,3185,2016,12,26
59.0,F,51000.0,2058,2016,5,15
49.0,F,74000.0,149,2017,11,28
62.0,F,46000.0,9164,2014,4,4
56.0,F,80000.0,15270,2015,8,26
51.0,F,97000.0,6013,2017,4,1
47.0,F,62000.0,2160,2014,6,8
38.0,M,96000.0,12593,2016,4,13
43.0,M,44000.0,11442,2018,7,9
43.0,M,72000.0,11592,2016,10,21
49.0,M,84000.0,2043,2015,11,6
36.0,F,57000.0,13047,2017,9,25
45.0,F,58000.0,9865,2016,11,24
53.0,M,95000.0,14131,2018,6,9
43.0,M,60000.0,10276,2017,8,6
18.0,F,67000.0,12950,2017,6,19
40.0,M,41000.0,16013,2016,6,2
83.0,F,114000.0,15916,2017,3,21
49.0,M,65000.0,15067,2018,1,23
51.0,F,106000.0,10831,2017,3,23
25.0,M,55000.0,10908,2018,3,29
71.0,M,55000.0,6177,2018,1,5
58.0,M,71000.0,14585,2017,9,17
53.0,M,36000.0,1027,2014,7,12
83.0,F,93000.0,2360,2017,6,15
46.0,M,56000.0,2196,2016,3,15
69.0,F,97000.0,10343,2017,2,25
51.0,M,73000.0,12866,2017,8,2
61.0,M,68000.0,11648,2018,2,24
81.0,F,101000.0,6674,2017,8,4
60.0,M,41000.0,12130,2018,2,2
48.0,M,75000.0,16333,2015,9,10
48.0,F,87000.0,5747,2015,9,23
73.0,M,63000.0,11774,2014,1,24
41.0,F,89000.0,3755,2018,2,11
39.0,F,77000.0,6439,2016,4,2
31.0,M,56000.0,14764,2017,10,8
38.0,M,61000.0,2738,2017,12,15
46.0,F,36000.0,8561,2017,9,11
87.0,M,72000.0,13563,2014,11,13
53.0,F,83000.0,378,2015,12,14
93.0,F,48000.0,12947,2013,10,25
42.0,M,41000.0,2011,2015,8,25
54.0,M,79000.0,12250,2015,10,26
47.0,M,53000.0,7497,2018,7,26
75.0,M,109000.0,8006,2017,12,3
79.0,F,61000.0,832,2018,4,10
36.0,F,64000.0,16644,2017,10,10
30.0,M,43000.0,10473,2017,4,9
34.0,M,50000.0,13408,2013,11,16
39.0,F,78000.0,14346,2016,1,19
52.0,F,87000.0,3486,2016,5,23
43.0,M,34000.0,10909,2016,4,16
75.0,M,38000.0,7276,2018,6,24
47.0,M,40000.0,6240,2017,9,17
60.0,F,117000.0,11056,2018,4,20
31.0,M,43000.0,5067,2018,1,23
70.0,M,35000.0,8655,2018,3,4
49.0,F,36000.0,10557,2018,1,9
48.0,M,56000.0,13368,2017,8,16
37.0,M,36000.0,728,2017,12,19
67.0,F,67000.0,7693,2015,9,29
48.0,M,65000.0,4434,2015,7,19
69.0,M,38000.0,6890,2015,9,20
66.0,M,32000.0,516,2017,12,19
38.0,M,56000.0,12888,2017,9,12
59.0,F,90000.0,4152,2017,8,16
43.0,M,65000.0,4798,2018,4,10
43.0,M,41000.0,2006,2014,1,28
68.0,F,108000.0,5077,2017,4,21
60.0,M,45000.0,321,2018,4,24
53.0,M,39000.0,1316,2015,9,25
34.0,M,50000.0,14356,2018,2,16
77.0,M,64000.0,12430,2018,3,22
88.0,F,73000.0,16405,2017,5,11
62.0,F,88000.0,3244,2018,6,25
63.0,M,86000.0,3799,2014,7,31
70.0,M,99000.0,14085,2017,11,12
38.0,M,33000.0,12764,2018,4,3
44.0,F,39000.0,10665,2018,2,17
40.0,F,50000.0,10850,2018,3,6
51.0,M,99000.0,12388,2018,3,28
72.0,F,60000.0,1416,2013,8,14
22.0,M,45000.0,9713,2017,9,4
72.0,M,49000.0,11965,2017,8,19
70.0,M,37000.0,7000,2017,9,3
23.0,M,65000.0,787,2014,7,19
38.0,M,75000.0,8484,2018,7,18
71.0,F,67000.0,10033,2015,10,17
50.0,M,51000.0,8274,2013,9,27
72.0,M,35000.0,9788,2014,12,4
43.0,M,31000.0,968,2018,3,27
63.0,M,70000.0,15256,2016,5,10
73.0,M,46000.0,3880,2018,6,10
53.0,M,57000.0,12911,2015,12,27
37.0,F,57000.0,539,2018,5,7
45.0,M,44000.0,2481,2014,10,29
59.0,M,61000.0,3495,2018,7,2
74.0,M,51000.0,2610,2016,9,24
18.0,M,36000.0,14261,2016,10,31
94.0,F,84000.0,5735,2016,11,30
38.0,M,33000.0,16338,2016,2,7
67.0,F,50000.0,3073,2016,9,12
46.0,F,36000.0,5669,2015,12,29
82.0,M,41000.0,7702,2017,12,20
37.0,M,36000.0,10704,2018,7,5
65.0,F,71000.0,3920,2018,6,4
66.0,F,34000.0,7647,2017,8,15
65.0,F,57000.0,16145,2016,10,9
54.0,F,52000.0,3974,2016,6,13
63.0,M,113000.0,10833,2017,12,19
50.0,F,110000.0,5320,2018,3,25
64.0,M,81000.0,15159,2017,9,21
66.0,M,50000.0,11547,2017,10,14
76.0,F,62000.0,4281,2016,12,9
56.0,F,82000.0,12749,2017,1,4
49.0,M,75000.0,16387,2017,5,12
29.0,F,53000.0,5176,2015,10,23
51.0,F,56000.0,16474,2016,5,17
69.0,M,68000.0,2380,2018,6,14
